ANNEE,CATEGORIE,PRODUITS,QUANTITE (en tonne)
2008,Importation,Riz usiné,542374625
2008,Importation,Blé,244891477
2008,Importation,Riz brisures,214248437
2008,Importation,Farine de blé,53849572
2008,Importation,Oignons +Echalotes frais,35371921
2008,Importation,Vin,22658723
2008,Importation,Abats comestibles de bovins,22008046
2008,Importation,Pâte de tomate,21644092
2008,Importation,Malt d'orge,19728976
2008,Importation,Abats comestibles de porcs,18829388
2008,Importation,Pommes de terre,17421903
2008,Importation,Lait entier condensé,13403098
2008,Importation,Jute,12649458
2008,Importation,"Lait de vache, entier, sec",10646737
2008,Importation,Boissons non alcoolisés,9873475
2008,Importation,Bière d'orge,8853757
2008,Importation,Tourteaux de coton,8465103
2008,Importation,Oranges,8434252
2008,Importation,Tourteaux moulus oléagineux,7508691
2008,Importation,Confiserie,7163622
2008,Importation,Maïs,6781572
2008,Importation,Farine de maïs,6737829
2008,Importation,Préparations aliment nda,6312812
2008,Importation,Viande de bœuf désossée,6198752
2008,Importation,Huile de palme,5897952
2008,Importation,Alcool usage non nourrit,5623683
2008,Importation,Porc de charcuterie,4885477
2008,Importation,Glucose et Dextrose,4191759
2008,Importation,Pommes de terre,4056680
2008,Importation,Tabac brut,3517821
2008,Importation,Fécule de maïs,3376789
2008,Exportation,Fèves de cacao,782868355
2008,Exportation,Anacardes,312229096
2008,Exportation,Bananes,260292009
2008,Exportation,Pâte de cacao,135433876
2008,Exportation,Café vert,69205420
2008,Exportation,Ananas,69200511
2008,Exportation,Beurre graisse de cacao,62410078
2008,Exportation,Coque + déchets cacao,51901301
2008,Exportation,Huile de palmiste,38117134
2008,Exportation,Poudre de cacao,35815128
2008,Exportation,Macaronis,27196599
2008,Exportation,Dégras,23433575
2008,Exportation,Son de blé,23131051
2008,Exportation,Préparations aliment nda,21365242
2008,Exportation,Huile de palme,19017843
2008,Exportation,Noix de coco desséchées,17522310
2008,Exportation,Riz usiné,16888109
2008,Exportation,Tourteaux de palmiste,15453750
2008,Exportation,Mangues,12948845
2008,Exportation,Farine de blé,9999336
2008,Exportation,Huile de coprah,9977814
2008,Exportation,Noix de cola,9002105
2008,Exportation,Extraits de café,7694687
2008,Exportation,Chocolat et autres préparations,7460810
2008,Exportation,Papayes,6382132
2008,Exportation,Margarine et grais culin,5952189
2008,Exportation,Confisérie,5865679
2008,Exportation,"Lait entier, evaporé",5668313
2008,Exportation,Oléagineux nda,5162591
2008,Exportation,"Riz, brisures",4890433
2008,Exportation,Plantains,4051556
